,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Delta[0],0.017,0.081,-0.136,0.171,0.002,0.002,2098.0,1789.0,1.0
Delta[1],-0.131,0.057,-0.248,-0.034,0.001,0.001,1652.0,2133.0,1.0
Delta[2],0.11,0.057,0.01,0.221,0.001,0.001,1787.0,1960.0,1.0
Delta[3],-0.041,0.055,-0.144,0.064,0.002,0.001,1291.0,1652.0,1.01
Delta[4],-0.076,0.063,-0.208,0.02,0.025,0.002,6.0,68.0,1.23
Delta[5],0.126,0.056,0.033,0.231,0.003,0.007,723.0,58.0,1.04
Delta[6],0.081,0.076,-0.058,0.213,0.04,0.003,4.0,69.0,1.52
Delta[7],0.018,0.116,-0.168,0.211,0.073,0.001,3.0,69.0,1.81
Delta[8],-0.038,0.054,-0.137,0.066,0.001,0.008,1454.0,211.0,1.05
Delta[9],0.112,0.391,-0.359,0.57,0.274,0.001,3.0,54.0,1.83
Delta[10],0.141,0.154,-0.146,0.354,0.095,0.006,3.0,59.0,1.78
Delta[11],-0.228,0.112,-0.401,-0.066,0.074,0.001,3.0,67.0,1.83
Delta[12],-0.061,0.088,-0.184,0.092,0.054,0.003,3.0,65.0,1.74
Delta[13],0.016,0.096,-0.108,0.198,0.054,0.009,4.0,77.0,1.52
Delta[14],-0.053,0.083,-0.2,0.119,0.017,0.018,36.0,63.0,1.16
Delta[15],0.001,0.085,-0.147,0.172,0.002,0.002,2604.0,1634.0,1.01
Delta[16],-0.058,0.055,-0.168,0.042,0.001,0.001,2295.0,1858.0,1.0
Delta[17],-0.097,0.052,-0.196,0.001,0.001,0.001,2080.0,2102.0,1.0
Delta[18],0.152,0.042,0.076,0.234,0.001,0.001,2138.0,1971.0,1.0
Delta[19],-0.013,0.069,-0.152,0.103,0.002,0.002,1903.0,1921.0,1.0
