i,Delta_post_mean,Delta_post_sd,Delta_post_q025,Delta_post_q975,Delta_true
1,0.01669318178200935,0.08089608054299312,-0.13762174032434002,0.18425795183811522,0.11452985004426897
2,-0.13128555672553083,0.057229187399705866,-0.25550594307814894,-0.028778038702174134,-0.011656696977846928
3,0.11030684429402264,0.0569846342639006,0.011062839295193862,0.23416312031313175,0.2481589907597546
4,-0.040912087219369356,0.055439047883813965,-0.1517851934889014,0.07055501040021574,0.015018934683297055
5,-0.07649173621716387,0.06302805934915232,-0.21658498569847637,0.027811817152456186,-0.12288678235582393
6,0.1259944885580718,0.056247327895130685,0.025157991403918188,0.24083561938697895,0.22514134022991464
7,0.08054788237934285,0.07552281025109521,-0.09144588606586827,0.20315895900368935,0.09650359619952015
8,0.018330969433037157,0.1157246366883675,-0.1711064508259011,0.2208935202651613,-0.07876155188879577
9,-0.03782832578160694,0.053720335034473904,-0.14872763175887913,0.06637991738142161,-0.029222395814061275
10,0.11207874225953202,0.39105979900845184,-0.35521446057968553,0.5906182171306673,-0.25
11,0.14098493904526396,0.15422835151415923,-0.16413581419746562,0.3527440455397781,0.25
12,-0.22822775858565936,0.11223528639190639,-0.4173161897973874,-0.06905291712028985,-0.03933546045747988
13,-0.06065154331114196,0.08777364516263385,-0.17723656089261616,0.11228815109353177,0.10198081221355902
14,0.016269431155549886,0.0963177085567164,-0.10630262665708835,0.21776718758562041,-0.32480284785132085
15,-0.05305676443215392,0.08253745864803053,-0.19485086414069636,0.1425753813714326,-0.05996192244266806
16,0.0006430846862236977,0.08532105654602525,-0.16538062368341436,0.16927831570977583,-0.040870237168010526
17,-0.058352324960132165,0.05542975710173153,-0.17693003322119252,0.04395886670580188,-0.111415631877932
18,-0.09706877230350597,0.0522379584362847,-0.214174264495641,-0.005096992320889416,-0.15762874463159016
19,0.15154910943494898,0.042363400076545876,0.07710675488730441,0.24798092649183046,0.14748764853833468
20,-0.013252738831287497,0.06947919789504678,-0.1610399765660316,0.10701230600623277,-0.08997154792849357
